Sample ID,Rain Sample,Elevation,87Sr/86Sr
NEP24-010,24,1314,0.7379123
NEP24-011,20,1318,0.7378163
NEP24-014,21,2495,0.7350801
NEP24-015,27,2104,0.7364533
NEP24-016,23,1978,0.7335962
NEP24-024,18,2555,0.7091965
NEP24-039,19,840,0.739056
NEP24-043,17,1351,0.7144328
NEP24-044,28,1951,0.7135484
NEP24-045,16,2644,0.7129362
NEP24-046,25,2109,0.7090664
NEP24-047,26,2644,0.7120032
NEP24-048,29,2104,0.7118672
