run_index,T_res,phi,f,rss
1,2451766108.1817455,0.0669040567553637,0.5397246633919487,0.00010965367568905708
2,826629438.2606361,0.2645575281735469,0.414600828112012,0.00011404235054509296
3,2908572138.185857,0.0410947911308487,0.2211641708554882,9.016996779107589e-05
4,478660462.27491075,0.2276411881612189,0.5580161917424749,0.00014292101913557158
5,1016499988.740729,0.1861031329768746,0.666754332595024,0.00012947292457301358
6,1454170899.3738296,0.2360922303131847,0.4836325151403422,0.00011059120684945861
7,2871458672.3555245,0.073838606894704,0.182082270551565,0.00012446426684351267
8,1203839057.4998963,0.028154125948958,0.2305539189342553,0.0001394788560637782
9,2920406956.0891576,0.1005252458459738,0.0578768856521205,0.0001295505249603956
10,285575205.2436471,0.1252036199916379,0.0247960078381996,0.00014229414338561545
11,1863279408.9325871,0.2029467505966624,0.3744679875145634,0.0001352472237309937
12,3140595809.166882,0.1267734920023849,0.3637789874097551,0.00016257492582046396
13,207138762.0611336,0.1484706316462741,0.9099783942911897,0.00012137101764712458
14,2138949060.929009,0.2029342723979261,0.4334715581651087,0.0001274414508014135
15,974640127.0129994,0.1818453029198686,0.610418139521032,0.00012446818992337008
16,531417309.1234736,0.2871811111626949,0.3197704263276921,0.00011505718666471528
17,1597475237.3880813,0.0118935043913827,0.427083244684781,0.00010770395955638579
18,1775551733.1612291,0.0965026371672639,0.7612622259716104,0.00012265674621981295
19,1131059339.858825,0.1768361032879491,0.0611977886701065,0.0001187357617031977
20,191236902.700042,0.1012743942434455,0.5687174618176568,0.00014128606585291277
21,2303610321.594539,0.1220401942824499,0.5436280931172507,0.00011125653164773405
22,2126193142.2395132,0.0527357520882657,0.6545507706675244,0.00011974719683351576
23,771364351.5797175,0.2227484218111934,0.1299165874043004,0.00012029353838223613
24,1916022402.9801629,0.0417555456880697,0.3367203375167277,0.00011670845456819847
25,2855242032.916105,0.2402461933208057,0.2093135917745021,0.00012542356922768636
26,1358932330.183354,0.161680271692422,0.8614454733213645,0.00011973585435517945
27,1018696297.8462944,0.2047275753593048,0.8074246424010457,0.00012125076985315222
28,1178784353.0432026,0.2722307431143963,0.2509467173890777,0.00012712528016751808
29,2558887613.622077,0.2945327965692537,0.6952904646155504,0.0001286073580175551
30,414228175.2356762,0.2240603244768274,0.3613359085176124,0.00011772181715353395
31,3018009584.4667635,0.0984959207072087,0.1740637443962172,0.0001438306197800521
32,1013344574.2478926,0.0230815272035584,0.2770914698835561,0.00011538308349457905
33,2609093223.8979497,0.214110947424948,0.2415776693314379,0.0001163290234790244
34,2087280533.0677311,0.1430633609306175,0.0930947737103965,0.00011196860199180487
35,1894390191.8329709,0.0563765479283124,0.7901784576288168,0.00011747178775171701
36,2763578043.6906724,0.1608606549806972,0.541032574956482,0.00012211870947645778
37,133457128.15131636,0.0372016015412565,0.1308653861760327,0.00010804809375129161
38,764563618.1968534,0.0353707071942151,0.6687604753724353,0.00012482556027113904
39,1442435775.1420994,0.1988596887911424,0.5821259783522621,0.00016038887016855613
40,4569490.251583928,0.0394121323054722,0.994117503351305,0.00013229055176875763
41,267536455.05598623,0.0775398953716236,0.0991104498240627,0.0001375015548290968
42,1141716440.3613012,0.0829513616666548,0.7359899614433818,9.374531293728664e-05
43,2179641360.0468507,0.2541934116948412,0.4906788318339378,0.00014588662335602556
44,1686057749.463457,0.2777123614402738,0.8876393595382254,0.00011681825281091536
45,1946996676.803351,0.0870382578937284,0.6877590221609126,0.00012802620444776218
46,1368626290.579986,0.1156461595418682,0.7322618748328069,0.00012625725596137626
47,1238773106.3932576,0.2719168767497454,0.912864755679712,0.000124489111428772
48,632661206.7763962,0.2240449174399478,0.7333838446482753,0.00013976495848529389
49,2891451640.3180385,0.2819708888945266,0.5400581970290885,0.000108686797401828
50,1591167030.5026965,0.078144408723422,0.5085587944356202,0.00011558158712030062
51,2369673133.930514,0.1674735167514406,0.235647640355629,0.00013872736487729022
52,1647244170.7333603,0.0262798613048643,0.709545242457685,0.00016135323170252594
53,2723130776.6717353,0.2469222169605077,0.3901294271666198,9.158073394012549e-05
54,784505151.4732718,0.0561587377011067,0.5819967309042766,0.00012575947686548907
55,2153043110.940927,0.2335565904968581,0.2274244190594302,0.00011378765010127143
56,2485451707.505328,0.0842445046861219,0.7881023552679287,0.00013926329542189895
57,2670746982.402782,0.0875422268341539,0.1220077757631067,0.00015680179911918267
58,1111354289.7158208,0.0389642803532538,0.7877306399667598,0.00011745697125459287
59,2226332119.2103415,0.118165944856263,0.8259208077542354,0.00012851951203426653
60,859391680.1202176,0.0129655698860235,0.2994537796909066,0.00011139849465897236
61,1492943910.580805,0.1435898203052003,0.4414078350991421,0.00012840778073243766
62,2135973569.4489567,0.0608963997465563,0.3781019552009795,0.00010791637472560597
63,922237702.360636,0.0866392833092552,0.6845843257770644,0.00014331712997820255
64,1307278517.1573288,0.0680056291950328,0.1975479217003094,0.00012861169937717628
