T_res,phi,f,rss,run_index
2451766108.1817455,0.06690405675536372,0.5397246633919487,6.372315720204566e-05,96855
826629438.2606361,0.2645575281735469,0.41460082811201204,6.537464946201147e-05,53195
2908572138.185857,0.041094791130848754,0.22116417085548823,6.657362208670261e-05,38132
478660462.27491075,0.22764118816121895,0.5580161917424749,6.67231909119266e-05,60749
1016499988.740729,0.18610313297687464,0.666754332595024,6.911106969986003e-05,99219
1454170899.3738296,0.23609223031318477,0.4836325151403422,6.912682662097444e-05,73766
2871458672.3555245,0.07383860689470408,0.182082270551565,6.915926817135624e-05,69397
1203839057.4998963,0.02815412594895801,0.23055391893425536,6.965292826302946e-05,22770
2920406956.0891576,0.10052524584597385,0.05787688565212057,7.01686411366608e-05,94482
285575205.2436471,0.1252036199916379,0.024796007838199685,7.086544821064658e-05,78442
1863279408.9325871,0.20294675059666242,0.37446798751456345,7.089305294807301e-05,24787
3140595809.166882,0.1267734920023849,0.3637789874097551,7.089387372214954e-05,38369
207138762.06113362,0.1484706316462741,0.9099783942911897,7.136157153975852e-05,17969
2138949060.929009,0.20293427239792614,0.43347155816510874,7.177750064862675e-05,37619
974640127.0129994,0.18184530291986867,0.610418139521032,7.200596357541992e-05,17004
531417309.12347364,0.2871811111626949,0.31977042632769215,7.205352993473342e-05,90500
1597475237.3880813,0.01189350439138278,0.427083244684781,7.207722022906612e-05,15300
1775551733.1612291,0.09650263716726397,0.7612622259716104,7.210047298545483e-05,71005
1131059339.858825,0.1768361032879491,0.0611977886701065,7.242109206513808e-05,20399
191236902.700042,0.10127439424344556,0.5687174618176568,7.258966167062505e-05,94317
2303610321.594539,0.12204019428244997,0.5436280931172507,7.293030386231364e-05,48685
2126193142.2395132,0.052735752088265794,0.6545507706675244,7.29780993192281e-05,27311
771364351.5797175,0.22274842181119342,0.12991658740430045,7.298194080849593e-05,50358
1916022402.9801629,0.041755545688069745,0.3367203375167277,7.334157564376676e-05,42141
2855242032.916105,0.24024619332080577,0.20931359177450215,7.361314325234461e-05,69729
1358932330.1833541,0.161680271692422,0.8614454733213645,7.36282603968498e-05,50410
1018696297.8462944,0.20472757535930483,0.8074246424010457,7.408972390338284e-05,12204
1178784353.0432026,0.2722307431143963,0.2509467173890777,7.420916542781292e-05,3404
2558887613.622077,0.29453279656925374,0.6952904646155504,7.425498499938026e-05,85585
414228175.2356762,0.22406032447682742,0.36133590851761244,7.440038045369092e-05,65083
3018009584.4667635,0.09849592070720876,0.1740637443962172,7.441965296836847e-05,96161
1013344574.2478926,0.023081527203558428,0.27709146988355615,7.464391048711455e-05,24191
2609093223.8979497,0.21411094742494804,0.24157766933143798,7.516763023749357e-05,15781
2087280533.0677311,0.14306336093061758,0.09309477371039654,7.521344606462428e-05,85269
1894390191.8329709,0.05637654792831246,0.7901784576288168,7.537095839740959e-05,25320
2763578043.6906724,0.1608606549806972,0.541032574956482,7.548927243160728e-05,45329
133457128.15131636,0.037201601541256527,0.13086538617603272,7.558195625602562e-05,89529
764563618.1968534,0.03537070719421512,0.6687604753724353,7.558261682139125e-05,71666
1442435775.1420994,0.1988596887911424,0.5821259783522621,7.559651193757097e-05,37235
4569490.251583928,0.039412132305472206,0.994117503351305,7.566032842164878e-05,54644
