vol (digit),vol (uL),pH,gran
0,0,5.92,6.01132E-05
10,0.012,4.5,0.001581518
15,0.018,4.13,0.003707886
20,0.024,4.08,0.004160815
25,0.03,4.03,0.004669071
30,0.036,3.98,0.005239412
36,0.0432,3.98,0.005240166
51,0.0612,3.77,0.008501612
