vol (digit),pH
0,7.88
50,7.08
100,6.72
125,6.48
150,6.36
200,5.94
225,5.69
252,5.26
265,4.9
271,4.73
275,4.63
280,4.55
286,4.43
291,4.36
301,4.25
317,4.07
330,4
