vol (digit),pH
0,6.11
1.5,6.03
10,5.97
15,5.96
25,5.88
35,5.83
45,5.72
55,5.48
65,5.33
75,4.75
80,4.55
85,4.48
90,4.38
95,4.3
100,4.22
105,4.13
110,4.09
115,4.05
120,4
125,3.96
130,3.92
135,3.88
140,3.85
145,3.82
150,3.78
155,3.76
160,3.73
165,3.69
