vol (digit),pH
0,6.02
5,5.31
7,4.87
9,4.74
11,4.64
13,4.54
15,4.48
18,4.44
20,4.39
22,4.35
24,4.32
26,4.28
28,4.24
30,4.22
32,4.18
34,4.14
36,4.12
40,4.06
44,4.04
48,4.01
52,3.99
60,3.94
80,3.84
100,3.76
