vol (digit),pH
0,8.21
41,8.05
60,7.85
80,7.75
100,7.65
130,7.51
161,7.45
200,7.33
300,6.97
400,6.76
500,6.47
700,6.06
900,4.69
950,4.17
955,4.1
960,4.06
965,4.01
970,3.98
975,3.95
980,3.92
985,3.89
990,3.86
995,3.84
1000,3.81
