vol (digit),pH
0,7.17
50,7.04
100,6.95
150,6.88
200,6.8
225,6.75
250,6.71
275,6.68
300,6.64
325,6.62
351,6.57
375,6.56
400,6.52
425,6.5
451,6.46
490,6.41
525,6.37
550,6.33
600,6.28
650,6.21
701,6.12
750,6.06
800,5.97
850,5.89
875,5.86
900,5.8
925,5.75
950,5.71
975,5.64
1000,5.55
1025,5.47
1050,5.4
1075,5.28
1100,5.1
1125,4.96
1140,4.82
1150,4.71
1160,4.55
1170,4.46
1180,4.32
1190,4.2
1200,4.12
1210,4.05
1220,3.99
1230,3.92
