vol (digit),pH
0,6.63
15,6.46
40,6.34
75,6.18
110,6.03
150,5.76
175,5.48
200,5.17
220,4.77
235,4.4
245,4.28
255,4.17
265,4.08
275,3.96
285,3.9
295,3.81
