vol (digit),pH
0,7.5
10,7.29
20,7.04
40,6.97
50,6.82
60,6.64
70,6.53
80,6.41
100,6.29
110,6.16
120,6.04
130,5.94
150,5.74
160,5.32
170,4.95
180,4.64
190,4.35
210,4.29
220,4.23
230,4.09
240,4.03
250,3.91
