vol (digit),pH
0,5
2,4.75
4,4.68
6,4.62
8,4.49
10,4.41
12,4.34
14,4.29
16,4.25
18,4.2
20,4.17
22,4.19
24,4.27
35,4.13
40,4.05
45,4.04
50,3.97
55,3.94
60,3.89
70,3.83
100,3.67
