vol (digit),pH
0,6.05
5,5.86
15,5.3
22,4.98
28,4.84
33,4.8
40,4.61
45,4.54
50,4.45
55,4.37
60,4.29
65,4.25
70,4.18
75,4.13
80,4.1
90,4.02
