vol (digit),pH
0,6.02
5,5.9
15,5.49
25,5.09
35,4.45
40,4.66
45,4.6
50,4.52
55,4.4
60,4.31
65,4.18
70,4.07
75,4.02
80,3.98
85,3.94
90,3.92
