vol (digit),pH
0,7.44
10,7.09
20,6.96
30,6.79
40,6.62
50,6.48
60,6.21
70,6.02
80,5.65
90,5.37
100,4.9
110,4.51
120,4.36
125,4.27
130,4.2
135,4.15
140,4.08
145,4.03
