vol (digit),pH
0,5.25
10,5.77
15,5.21
21,4.87
25,4.7
30,4.57
34,4.48
37,4.41
40,4.35
43,4.31
47,4.26
50,4.21
54,4.17
58,4.12
62,4.08
66,4.05
75,3.97
