vol (digit),pH
0,5.84
5,5.49
10,5.38
15,5.21
20,5.02
25,4.78
30,4.57
35,4.44
40,4.3
45,4.21
50,4.15
55,4.1
60,4.03
65,3.98
70,3.93
75,3.89
80,3.85
85,3.81
90,3.78
95,3.76
100,3.72
105,3.69
