vol (digit),pH
0,5.61
5,5.47
10,5.21
15,4.88
20,4.7
25,4.61
30,4.52
35,4.42
40,4.31
45,4.24
50,4.19
55,4.14
60,4.09
65,4.05
70,4.01
75,3.98
80,3.95
86,3.91
90,3.88
95,3.86
100,3.84
105,3.81
110,3.79
115,3.76
120,3.73
125,3.71
