vol (digit),pH
0,6.78
5,6.77
10,6.76
20,6.68
30,6.6
40,6.56
50,6.47
60,6.41
70,6.34
80,6.29
90,6.21
100,6.16
120,6.03
140,5.88
160,5.7
180,5.44
200,5.13
215,4.75
225,4.47
235,4.28
245,4.15
255,4.03
265,3.95
275,3.86
285,3.8
290,3.77
296,3.74
300,3.72
