vol (digit),pH
0,5.82
5,5.47
10,5.17
15,4.79
17,4.75
20,4.64
23,4.53
26,4.48
29,4.39
32,4.37
35,4.3
38,4.23
42,4.2
46,4.14
50,4.08
55,4.04
