vol (digit),pH
0,6.01
5,5.99
10,5.95
15,5.85
20,5.7
25,5.54
30,5.18
35,4.92
40,4.72
45,4.6
50,4.52
55,4.43
60,4.37
65,4.31
70,4.24
75,4.21
85,4.12
100,3.99
120,3.88
150,3.76
