vol (digit),pH
0,5.67
5,5.65
10,5.62
15,5.54
20,5.39
25,5.16
30,4.76
35,4.59
40,4.43
45,4.33
50,4.25
55,4.17
60,4.11
65,4.06
70,4
75,3.97
80,3.93
85,3.9
90,3.85
96,3.82
100,3.8
105,3.77
110,3.74
115,3.72
