vol (digit),pH
0,5.84
5,5.73
12,5.54
18,4.91
22,4.73
25,4.58
27,4.49
29,4.44
31,4.36
33,4.33
35,4.26
37,4.24
40,4.21
45,4.11
50,4.08
60,3.97
