vol (digit),pH
0,5.25
5,5.09
10,4.87
15,4.64
18,4.53
21,4.45
24,4.39
27,4.36
30,4.3
33,4.23
36,4.21
39,4.18
42,4.16
45,4.13
48,4.11
52,4.07
55,4.05
58,4.03
61,4
64,3.98
67,3.96
70,3.94
73,3.92
76,3.9
79,3.89
84,3.86
89,3.84
94,3.82
99,3.8
104,3.78
109,3.76
115,3.74
120,3.71
