vol (digit),pH
0,6.79
10,6.75
20,6.66
30,6.57
40,6.49
50,6.41
70,6.23
90,6.04
110,5.85
130,5.67
150,5.25
170,4.7
180,4.44
190,4.24
200,4.12
210,4.03
220,3.94
230,3.86
235,3.8
240,3.79
245,3.76
250,3.74
256,3.7
