vol (digit),pH
0,7.1
5,6.8
10,6.62
15,6.49
20,6.36
25,6.26
30,6.1
35,5.42
40,5.33
45,4.89
50,4.71
55,4.57
60,4.45
65,4.34
70,4.26
72,4.22
74,4.2
76,4.16
78,4.13
80,4.11
82,4.08
84,4.06
86,4.04
90,4.01
93,3.98
96,3.96
100,3.92
104,3.89
108,3.87
112,3.84
116,3.82
120,3.79
124,3.78
128,3.75
